,created_at,text
119,Sat Dec 05 19:13:24 +0000 2015,"RT @pravishvj: சென்னையில் இருந்து புறப்படும் 26 ரயில்கள் நாளை ரத்து:தெற்கு ரயில்வே
#ChennaiRainsHelp #ChennaiFloods @Sibi_Sathyaraj https:/…"
120,Sat Dec 05 19:13:25 +0000 2015,RT @ishafoundation: Isha in action: #ChennaiFloods relief efforts https://t.co/sb6uyeIeu4
121,Sat Dec 05 19:13:27 +0000 2015,RT @SkymetWeather: JUST IN: Domestic passenger flights from Chennai airport to resume from 6 am tomorrow. #ChennaiFloods #ChennaiRainsHelp …
122,Sat Dec 05 19:13:27 +0000 2015,RT @siima: Please send your supplies for victims of #ChennaiFloods #ChennaiHeroes #PrayforChennai @shrutihaasan  https://t.co/Uy9a2Qoiv0
123,Sat Dec 05 19:13:27 +0000 2015,#chennaifloods #chennairainhelp thanks all who retweeted it is taken care now
124,Sat Dec 05 19:13:28 +0000 2015,RT @SLDFC: #ChennaiFloods #Dhanush helping for peoples Hats off @dhanushkraja #LetsPrayForTamilNadu soon recover #godbless https://t.co/Kim…
125,Sat Dec 05 19:13:32 +0000 2015,RT @riazgenuine: Japan's successfully implemented project 2 mitigate flash flood effects Can be emulated #chennairain #ChennaiFloods https:…
126,Sat Dec 05 19:13:34 +0000 2015,"RT @pravishvj: ""தமிழகத்தில் 3 நாட்களுக்கு மழை.. கடலோர மாவட்டங்களில் கனமழை பெய்யும்"" - வானிலை ஆய்வு மையம் தகவல்..
#ChennaiFloods https://t.c…"
127,Sat Dec 05 19:13:34 +0000 2015,Praying for all affected in the #ChennaiFloods... Hope all gets soon!
128,Sat Dec 05 19:13:35 +0000 2015,#ChennaiRainsHelp #ChennaiFloods #ChennaiMicro #chennairain  https://t.co/aEvlFbyjy1
129,Sat Dec 05 19:13:36 +0000 2015,RT @DeepikaPFC: Deepika's latest retweet about the Mana Madras Kosam initiative. #ChennaiFloods https://t.co/MhfwBIv3Nr
130,Sat Dec 05 19:13:42 +0000 2015,RT @riazgenuine: @Actor_Siddharth #ChennaiMicro got this thru whatsapp message #chennairain #ChennaiFloods @RJ_Balaji https://t.co/bc6OKyXG…
131,Sat Dec 05 19:13:42 +0000 2015,RT @srpchennai: Accommodation n Food available for 50 ppl in Royapettah and Adyar Contact Rajeswari 8056266296 @actor_viishnu @selvaraghava…
132,Sat Dec 05 19:13:43 +0000 2015,"Candles, Lighters, Torches, Rubber Slippers &amp; Blankets would come in handy to many as well. May not seem much, but important #ChennaiFloods"
133,Sat Dec 05 19:13:46 +0000 2015,RT @ishafoundation: #ChennaiFloods #ChennaiMicro https://t.co/aICSzz3QuO
134,Sat Dec 05 19:13:46 +0000 2015,"RT @gops333: RSS का ग्राफ निम्नतम स्तर पर क्यों है यह आज समझ आया,जितनी निन्दा की जाए कम है
#ChennaiFloods
#ChennaiRainsHelp
#RSS https://t.…"
135,Sat Dec 05 19:13:46 +0000 2015,"please go to interior places,city has lots of people to distribute materials 1/2 #ChennaiMicro #ChennaiFloods #ChennaiRainsHelp"
136,Sat Dec 05 19:13:50 +0000 2015,"RT @MahaveerM_: Jain Bhavan,Sowcarpet,Chennai Cooking Food NonStop 4m Past 72Hrs 2 Feed Citizens #ChennaiFloods Wid 100s Volunteers https:/…"
137,Sat Dec 05 19:13:51 +0000 2015,RT @ishafoundation: Isha Volunteers across Tamilnad actively collecting &amp; sending amenities for the affected #ChennaiFloods Give a hand! ht…
138,Sat Dec 05 19:13:52 +0000 2015,RT @karaiyaan: மழைக்கு முன்பெ வடிகால்களை ஆய்வு செய்து ஊழல் கன்ட்ராக்டர்களுக்கு அபராதம் போட்ட IAS இடமாற்றம் #ChennaiFloods -  https://t.co/d…
139,Sat Dec 05 19:13:53 +0000 2015,RT @adgpi: #IndianArmy Rescue teams have successfully rescued over 7000 stranded people using boats #ChennaiFloods https://t.co/BSiH348CWg
140,Sat Dec 05 19:13:55 +0000 2015,RT @NimmaYash: #Masterpiece audio release swalpa delay aagtide 'cos #ChennaiFloods kshamisi ivatthu bidbekidh haadu 7th air aagatte https:/…
141,Sat Dec 05 19:13:58 +0000 2015,"RT @VettriTheatres: Hats off #ChennaiHeroes ...
#ChennaiFloods #ChennaiRains https://t.co/sKErSBWM73"
142,Sat Dec 05 19:13:58 +0000 2015,RT @kanakaraj1982: Volunteers help him out.. #ChennaiRainsHelp #ChennaiMicro #ChennaiFloods #chennairain @Sibi_Sathyaraj @Chinmayi  https:/…
143,Sat Dec 05 19:13:58 +0000 2015,RT @srpchennai: Accommodation n Food available for 50 ppl in Royapettah and Adyar Contact Rajeswari 8056266296 @actor_viishnu @selvaraghava…
144,Sat Dec 05 19:13:59 +0000 2015,RT @khaishk: #Chennaifloods While communal RSS distributes food water medicines secular missionaries hand out free bibles https://t.co/6m9Y…
145,Sat Dec 05 19:14:01 +0000 2015,"Retweeted Rakesh Gowthaman (@VettriTheatres):

Hats off #ChennaiHeroes ...
#ChennaiFloods #ChennaiRains... https://t.co/BFDNmikIjK"
146,Sat Dec 05 19:14:02 +0000 2015,"RT @vigneshwyvern: #True story of #Chennai 
#ChennaiFloods #ChennaiRains https://t.co/DVSZfL0VPB"
147,Sat Dec 05 19:14:03 +0000 2015,"RT @AkshayaPatra: We are serving daily meals in Chennai &amp; aim to reach 10,000. Support us. https://t.co/GT74CMrWR2  #ChennaiFloods https://…"
148,Sat Dec 05 19:14:04 +0000 2015,RT @balaji_seo: Near Thambaram @emceeaarjay  https://t.co/rASBl4gV57
149,Sat Dec 05 19:14:04 +0000 2015,RT https://t.co/BjTAnnKiQd #chennaifloods #chennairains #ChennaiRainsHelp Medical team ready for service https://t.co/KAAKGOIlDB
150,Sat Dec 05 19:14:06 +0000 2015,RT @Greenpeace: The #ChennaiFloods are the worst in a century. Experts say  #climatechange is to blame - so does PM @narendramodi https://t…
151,Sat Dec 05 19:14:06 +0000 2015,RT @dhanushkraja: Proud to say u guys are my fans. Keep up the good work. Do as much as field work as possible.  https://t.co/sgTU5jdZ0Q
152,Sat Dec 05 19:14:08 +0000 2015,RT @SriniMama16: France talking about #ChennaiFloods https://t.co/pc9UHXksji
153,Sat Dec 05 19:14:09 +0000 2015,RT @skycinemas: @juniorbachchan Better ask North Indian Medias / Bollywood Celebrities to support. #ChennaiFloods
154,Sat Dec 05 19:14:10 +0000 2015,RT @ishafoundation: Isha in action: Ashram volunteers support #ChennaiFloods relief efforts https://t.co/NRXMdI2gtu
155,Sat Dec 05 19:14:10 +0000 2015,RT @ArchanaArchuu: அவசரமாக இரத்தம் தேவை Egmore Children's Hospital needs blood  A+ B+ O+ &amp; WBC to save 70 infants.Call 9566130683 https://t…
156,Sat Dec 05 19:14:10 +0000 2015,"யாரோ எவரோ, உதவி செய்த நல்லுள்ளங்களுக்கு மனமார்ந்த நன்றிகள்!!
#ChennaiFloods"
157,Sat Dec 05 19:14:14 +0000 2015,"Endukante ? ! .... #Rascals #ChennaiFloods 
 https://t.co/lL29CTKcz9"
